dataset_id,name,institution,role
Denton_2007,Rachael Gallagher,Macquarie University Sydney,contributor
Detombeur_2021,Felix de Tombeur,"TERRA Teaching and Research Centre, Gembloux Agro-Bio Tech, University of Liege, Gembloux, Belgium","contact, collector"
Detombeur_2021,Etienne Laliberte,Universite de Montreal,lab_leader
Detombeur_2021,Hans Lambers,University of Western Australia,lab leader
Detombeur_2021,Graham Zemunik,University of Western Australia,collector
Dong_2017,Ning Dong,Macquarie University,"collector, contact"
Dong_2017,Ian Wright,Macquarie University,assistant
Dong_2017,Iain Colin Prentice,Imperial College London,lab_leader
Du_2018,Pengzhen Du,Lanzhou University,collector
Du_2018,Claire Farrell,University of Melbourne,"lab_leader, contact"
Du_2018,Stefan Arndt,University of Melbourne,lab_leader
Du_2019,Pengzhen Du,Lanzhou University,collector
Du_2019,Claire Farrell,University of Melbourne,"lab_leader, contact"
Du_2019,Stefan Arndt,University of Melbourne,lab_leader
Duan_2015,Honglang Duan,"Hawkesbury Institute for the Environment, Western Sydney University",collector
Duan_2015,David Tissue,"Hawkesbury Institute for the Environment, Western Sydney University","collector, lab_leader, contact"
Duan_2015,Renee Smith,"Hawkesbury Institute for the Environment, Western Sydney University",collector
Duncan_1998,David Duncan,Melbourne University,"collector, contact"
Duncan_1998,Mark Westoby,Macquarie University Sydney,lab_leader
Duncan_1998,Ian Wright,Macquarie University Sydney,contributor
Dwyer_2017,John M. Dwyer,University of Queensland,lab_leader
Dwyer_2017,Daniel C. Laughlin,"University of Waikato, New Zealand",collector
Dwyer_2018,John M. Dwyer,University of Queensland,"contact, collector, lab_leader"
Dwyer_2018,Riah Mason,University of Queensland,collector
Eamus_1998,Derek Eamus,University of Technology Sydney,"collector, contact"
Eamus_1998,Ian Wright,Macquarie University Sydney,contributor
Eamus_1999,Derek Eamus,University of Technology Sydney,"collector, contact"
Eamus_1999,Ian Wright,Macquarie University Sydney,contributor
Edwards_2000,Jennifer Read,"School of Biological Sciences, Monash University","lab_leader, contact"
Edwards_2000,Gordon Sanson,"School of Biological Sciences, Monash University",lab_leader
Edwards_2000,Cheryl Edwards,"School of Biological Sciences, Monash University",collector
eFLOWER_2021,Herve Sauquet,National Herbarium of New South Wales and Royal Botanic Gardens and Domain Trust,"collector, contact"
eFLOWER_2021,Juerg Schoenenberger,"Department of Botany and Biodiversity Research, University of Vienna",collector
eFLOWER_2021,Maria von Balthazar,"Department of Botany and Biodiversity Research, University of Vienna",collector
eFLOWER_2021,Andrea Lopez Martinez,Universidad Nacional Autonoma de Mexico,collector
eFLOWER_2021,Susana Magallon,Universidad Nacional Autonoma de Mexico,collector
EsperonRodriguez_2019,Manuel Esperon-Rodriguez,"Hawkesbury Institute for the Environment, Western Sydney University, Locked Bag 1797, Penrith NSW 2751 Australia","contact, collector"
EsperonRodriguez_2019,Sally A. Power,"Hawkesbury Institute for the Environment, Western Sydney University, Locked Bag 1797, Penrith NSW 2751 Australia",lab_leader
EsperonRodriguez_2019,Mark G. Tjoelker,"Hawkesbury Institute for the Environment, Western Sydney University, Locked Bag 1797, Penrith NSW 2751 Australia",lab_leader
