dataset_id,name,institution,role
McGlone_2015,Gregory Jordan,University of Tasmania,"collector, contact"
Meers_2007,Trevor Meers,Cumberland Ecology,"collector, contact"
Meers_2007,Sabine Kasel,University of Melbourne,lab_leader
Metcalfe_2009,Daniel Metcalfe,CSIRO,"collector, contributor"
Metcalfe_2020_1,Daniel Metcalfe,CSIRO,"contributor, contact"
Metcalfe_2020_2,Daniel Metcalfe,CSIRO,"contributor, contact"
Milberg_1997,Per Milberg,Curtin University,collector
Milberg_1997,Byron Lamont,Curtin University,"collector, contact"
Milberg_1998,Per Milberg,Curtin University,collector
Milberg_1998,Byron Lamont,Curtin University,"collector, contact"
Mokany_2008,Karel Mokany,"CSIRO, Canberra","contact, collector"
Mokany_2008,Julian Ash,Australian National University,collaborator
Mokany_2015,Karel Mokany,"CSIRO, Canberra","contact, collector"
Moles_2000,Angela Moles,University of New South Wales,"collector, contact"
Moles_2000,Mark Westoby,Macquarie University Sydney,lab_leader
Moles_2003,Angela Moles,University of New South Wales,"contact, collector"
Moles_2003,Mark Westoby,Macquarie University Sydney,lab_leader
Moles_2011,Angela Moles,University of New South Wales,"contact, collector, lab_leader"
Moore_2019,Ben D. Moore,"Hawkesbury Institute for the Environment, Western Sydney University","contact, collector, lab_leader"
Moore_2019,Jane L. DeGabriel,NA,collector
Moore_2019_2,Nicholas Moore,La Trobe University,"collector, contact"
Moore_2019_2,John Morgan,La Trobe University,lab_leader
Moore_2019_2,James Camac,La Trobe University,"collector, contributor"
Morgan_2005,Huw Morgan,CSIRO,"collector, contact"
Morgan_2005,Mark Westoby,Macquarie University Sydney,lab_leader
Morgan_2005,Ian Wright,Macquarie University Sydney,contributor
Morgan_2011_1,John Morgan,La Trobe University,"collector, contact, lab_leader"
Morgan_2011_1,Rachael Gallagher,Macquarie University Sydney,contributor
Morgan_2011_2,John Morgan,La Trobe University,"collector, contact, lab_leader"
Morgan_2011_2,Rachael Gallagher,Macquarie University Sydney,contributor
Morgan_2014,John Morgan,La Trobe University,"collector, contact, lab_leader"
Morgan_2014,Rachael Gallagher,Macquarie University Sydney,contributor
Muir_2014,Annette Muir,"Department of Environment, Land, Water and Planning, Victoria, Australia","collector, contact"
Muir_2014,Peter Vesk,University of Melbourne,lab_leader
Munroe_2019,Samantha Munroe,"Terrestrial Ecosystem Research Network, The School of Biological Sciences, The University of Adelaide, Adelaide, SA, 5005, Australia.","contact, collector"
Munroe_2019,Greg Guerin,"Terrestrial Ecosystem Research Network, The School of Biological Sciences, The University of Adelaide, Adelaide, SA, 5005, Australia.",collector
Munroe_2019,Ben Sparrow,"Terrestrial Ecosystem Research Network, The School of Biological Sciences, The University of Adelaide, Adelaide, SA, 5005, Australia.",collector
NHNSW_2016,Marco Duretto,National Herbarium of NSW,curator
NHNSW_2016,Rachael Gallagher,Macquarie University Sydney,contributor
Nicholson_2017,Aine Nicholson,University of Tasmania,"collector, contributor"
Nicholson_2017,Lynda Prior,University of Tasmania,"collector, contact"
Nicholson_2017,David Bowman,University of Tasmania,lab_leader
Nicholson_2017,George Perry,University of Auckland,assistant
Nicholson_2017,Mary Maconochie,University of Tasmania,assistant
Nicholson_2017,Kaely Kreger,University of Tasmania,assistant
Nicolle_2006,Dean Nicolle,Currency Creek Arboretum Eucalypt Research,collector
Nicolle_2006,Carl Gosper,"Department of Biodiversity, Conservation and Attractions, Western Australia","contact, collector"
Nicolle_2006,Colin Yates,"Department of Biodiversity, Conservation and Attractions, Western Australia",collector
Niinemets_2009,Ian Wright,Macquarie University,"collector, contact, contributor"
Niinemets_2009,Ule Niinemets,Estonian University of Life Sciences,collector
Niinemets_2009,Mark Westoby,Macquarie University,lab_leader
NSWFRD_2014,Elizabeth Tasker,NSW Department of Planning Industry and Environment,"collector, contact"
NSWFRD_2014,Belinda Kenny,NSW Rural Fire Service,collector
NSWFRD_2014,Ross Bradstock,University of Wollongong,assistant
NSWFRD_2014,Malcolm Gill,The Australian National University,assistant
NSWFRD_2014,Corinna Orscheg,NSW Department of Planning Industry and Environment,assistant
NTH_2014,Ian Cowie,Northern Territory Herbarium,"curator, contact"
NTH_2014,Rachael Gallagher,Macquarie University Sydney,contributor
Onoda_2010,Yusuke Onoda,Kyoto University,"collector, contact"
Onoda_2010,Anna Richards,CSIRO,collector
Onoda_2010,Mark Westoby,Macquarie University Sydney,lab_leader
Ooi_2007,Mark Ooi,"University of New South Wales, Centre for Ecosystem Science","collector, contact"
Ooi_2007,Peter Myerscough,"School of Biological Sciences, University of Sydney",collector
Ooi_2007,Tony Auld,NA,collector
Ooi_2018,Mark Ooi,"University of New South Wales, Centre for Ecosystem Science","collector, contact, lab_leader"
OReillyNugent_2018,Andrew O'Reilly-Nugent,University of Canberra,"collector, contact, lab_leader"
OReillyNugent_2018,Richard P. Duncan,University of Canberra,lab_leader
Osborne_2014,Colin P. Osborne,"University of Sheffield, Department of Animal and Plant Sciences","collector, contact, lab_leader"
Osborne_2014,Anna Salomaa,"University of Helsinki, Helsinki Institute of Sustainability Science",assistant
Osborne_2014,Rachael Gallagher,Macquarie University Sydney,contributor
Peeters_2002,Paula Peeters,unknown,"collector, contact"
Peeters_2002,Ian Wright,Macquarie University Sydney,contributor
Pekin_2011,Burak Pekin,"Istanbul Technical University, Turkey","collector, contact"
Pekin_2011,Rachael Gallagher,Macquarie University Sydney,contributor
Pickering_2014,Catherine Pickering,"School of Environment, Griffith University",collector
Pickering_2014,John Morgan,La Trobe University,collector
Pickering_2014,Susanna Venn,Deakin University,"collector, contact"
Pickering_2014,Rachael Gallagher,Macquarie University Sydney,contributor
Pickup_2002,Ian Wright,Macquarie University,"lab_leader, contact, contributor"
Pickup_2002,Melinda Pickup,CSIRO Plant Industry,collector
Pickup_2005,Ian Wright,Macquarie University,"lab_leader, contact, contributor"
Pickup_2005,Melinda Pickup,CSIRO Plant Industry,collector
Pollock_2012,Laura Pollock,"CNRS, University Grenoble Alpes",collector
Pollock_2012,William Morris,University of Melbourne,"collector, contact"
Pollock_2012,Peter Vesk,University of Melbourne,lab_leader
Pollock_2018,Laura Pollock,"CNRS, University Grenoble Alpes",collector
Pollock_2018,William Morris,University of Melbourne,"collector, contact"
Pollock_2018,Peter Vesk,University of Melbourne,lab_leader
Prior_2003,Lynda Prior,University of Tasmania,"collector, contact"
Prior_2003,David Bowman,University of Tasmania,lab_leader
Prior_2003,Ian Wright,Macquarie University Sydney,contributor
Prior_2016,Lynda Prior,University of Tasmania,"collector, contributor, contact"
Prior_2016,David Bowman,University of Tasmania,lab_leader
Prior_2016,Dominic Neyland,University of Tasmania,assistant
Prior_2016,Rob Polmear,University of Tasmania,assistant
RBGK_2014,Udayangani Liu,Kew Botanic Gardens,contact
RBGK_2014,Rachael Gallagher,Macquarie University Sydney,contributor
RBGSYD_2014,Marco Duretto,National Herbarium of NSW,curator
RBGSYD_2014,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
RBGSYD_2014_2,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Read_2003,Jennifer Read,"School of Biological Sciences, Monash University","contact, collector, lab_leader"
Read_2003,Gordon Sanson,"School of Biological Sciences, Monash University",collector
Read_2005,Jennifer Read,"School of Biological Sciences, Monash University","contact, collector, lab_leader"
Read_2005,Gordon Sanson,"School of Biological Sciences, Monash University",collector
Read_2005,Byron Lamont,Curtin University,collector
Reynolds_2018,Victoria Reynolds,"School of Biological Sciences, University of Queensland",collector
Reynolds_2018,Margaret Mayfield,"School of Biological Sciences, University of Queensland","lab_leader, contributor, contact"
Rice_1991,Barbara Rice,Macquarie University Sydney,collector
Rice_1991,Mark Westoby,Macquarie University Sydney,"lab_leader, contact"
Rice_1991,Ian Wright,Macquarie University Sydney,contributor
Richards_2003,Anna Richards,CSIRO,"collector, contact"
Richards_2003,Susanne Schmidt,University of Queensland,lab_leader
Richards_2003,Alison Shapcott,University of the Sunshine Coast,assistant
Richards_2003,Rachael Gallagher,Macquarie University Sydney,contributor
Richards_2008,Anna Richards,CSIRO,collector
Richards_2008,Ian Wright,Macquarie University,contributor
Roberts_2006,Bryan Roberts,unknown,collector
Roberts_2006,John Morgan,La Trobe University,lab_leader
Roberts_2006,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Roderick_1999,Michael Roderick,Australian National University,"contributor, contact"
Roderick_2002,Michael Roderick,Australian National University,"contributor, contact"
Roderick_2002,Michelle Cochrane,Australian National University,contributor
Rosell_2014,Julieta A. Rosell,National Autonomous University of Mexico,"collector, contact"
Rosell_2014,Mark Westoby,Macquarie University Sydney,lab_leader
Rye_2002,Barbara Rye,Western Australian Herbarium,"collector, contact"
Rye_2002,Rachael Gallagher,Macquarie University Sydney,contributor
Rye_2006,Barbara Rye,Western Australian Herbarium,"collector, contact"
Rye_2006,Rachael Gallagher,Macquarie University Sydney,contributor
Rye_2009_1,Barbara Rye,Western Australian Herbarium,"collector, contact"
Rye_2009_1,Rachael Gallagher,Macquarie University Sydney,contributor
Rye_2009_2,Barbara Rye,Western Australian Herbarium,"collector, contact"
Rye_2009_2,Rachael Gallagher,Macquarie University Sydney,contributor
Rye_2013_1,Barbara Rye,Western Australian Herbarium,"collector, contact"
Rye_2013_1,Rachael Gallagher,Macquarie University Sydney,contributor
Rye_2013_2,Barbara Rye,Western Australian Herbarium,"collector, contact"
Rye_2013_2,Rachael Gallagher,Macquarie University Sydney,contributor
Rye_2015,Barbara Rye,Western Australian Herbarium,"collector, contact"
Rye_2015,Rachael Gallagher,Macquarie University Sydney,contributor
SAH_2014,Jürgen Kellermann,"State Herbarium of South Australia; School of Biological Sciences, The University of Adelaide",curator
SAH_2014,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Sams_2017,Michael Sams,University of Queensland,collector
Sams_2017,Margaret Mayfield,University of Queensland,"contributor, lab_leader"
Sams_2017,Hoa Ran Lai,University of Queensland,collector
Sams_2017,Daniel Metcalfe,CSIRO,collector
Sams_2017,Robert Kooyman,Royal Botanic Gardens Sydney; Macquarie University,collector
Schmidt_1993,Susanne Schmidt,University of Queensland,"collector, contact"
Schmidt_1993,Ian Wright,Macquarie University,contributor
Schmidt_1997,Susanne Schmidt,University of Queensland,"collector, contact"
Schmidt_1997,George Stewart,University of Queensland,collector
Schmidt_1997,Ian Wright,Macquarie University Sydney,contributor
Schmidt_2003,Susanne Schmidt,University of Queensland,"collector, contact"
Schmidt_2003,George Stewart,University of Queensland,collector
Schmidt_2003,Ian Wright,Macquarie University Sydney,contributor
Schmidt_2010,Susanne Schmidt,University of Queensland,"collector, contact"
Schmidt_2010,Ian Wright,Macquarie University Sydney,contributor
Schulze_1998,Ernst-Detlef Schulze,Max-Planck Institute for Biogeochemistry,"collector, contact"
Schulze_1998,Willi A. Brand,Max-Planck Institute for Biogeochemistry,collector
Schulze_1998,Waltraud Schulze,unknown,assistant
Schulze_1998,Inge Schulze,Max-Planck Institute for Biogeochemistry,assistant
Schulze_1998,R.J.Williams,NA,assistant
Schulze_2006,Ernst-Detlef Schulze,Max-Planck Institute for Biogeochemistry,collector
Schulze_2006,Neil C. Turner,University of Western Australia,collector
Schulze_2006,Dean Nicolle,Currency Creek Arboretum,collector
Schulze_2006,Willi A. Brand,Max-Planck Institute for Biogeochemistry,collector
Schulze_2006_2,Ernst-Detlef Schulze,Max-Planck Institute for Biogeochemistry,"collector, contact"
Schulze_2006_2,Neil C. Turner,University of Western Australia,collector
Schulze_2006_2,Dean Nicolle,Currency Creek Arboretum,collector
Schulze_2006_2,Inge Schulze,Max-Planck Institute for Biogeochemistry,assistant
Schulze_2014,Ernst-Detlef Schulze,Max-Planck Institute for Biogeochemistry,"collector, contact, lab_leader"
Scott_2010,Andrew John Scott,La Trobe University,collector
Scott_2010,John Morgan,La Trobe University,lab_leader
Scott_2010,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Sendall_2016,Kerrie Sendall,University of Minnesota,collector
Sendall_2016,Christopher Lusk,University of Waikato,"collector, contact"
Sjostrom_2006,Caroline Gross,University of New England,"collector, contact"
Sjostrom_2006,Anne Sjostrom,University of New England,collector
Smith_1996,Benjamin Smith,"Hawkesbury Institute for the Environment, Western Sydney University","collector, contact"
Smith_1996,J. Bastow Wilson,"Botany Department, University of Otago, Dunedin, NZ",lab_leader
Smith_2012,Renee Smith,"Hawkesbury Institute for the Environment, Western Sydney University","collector, contact"
Smith_2012,David Tissue,"Hawkesbury Institute for the Environment, Western Sydney University",lab_leader
Soliveres_2012,Santiago Soliveres,Bern University,"collector, contact"
Soliveres_2012,Rachael Gallagher,Macquarie University Sydney,contributor
Soper_2014,Fiona Soper,Cornell University,collector
Soper_2014,Susanne Schmidt,University of Queensland,"lab_leader, collector, contact"
Standish_2019,Rachel Standish,"School of Veterinary and Life Sciences, Murdoch University","collector, contact, lab_leader"
Standish_2019,Matthew Daws,"Environment Department, Alcoa of Australia, Huntly, Western Australia",collector
Staples_2019,Timothy Staples,University of Queensland,"contact, collector"
Staples_2019,Margaret Mayfield,University of Queensland,lab_leader
Staples_2019,John M. Dwyer,University of Queensland,lab_leader
Stephens_2021,Ruby Stephens,"Macquarie University Sydney, Royal Botanic Gardens Sydney","collector, contact"
Stephens_2021,Rachael Gallagher,Macquarie University Sydney,lab_leader
Stewart_1995,George Stewart,University of Queensland,"collector, lab_leader"
Stewart_1995,Susanne Schmidt,University of Queensland,collector
Stewart_1995,Ian Wright,Macquarie University,contributor
Taseski_2017,Guy Taseski,University of New South Wales,collector
Taseski_2017,William Cornwell,University of New South Wales,"contact, lab_leader"
Taylor_2008,Daniel Taylor,"Institute for Water and Environmental Resource Management, University of Technology Sydney",collector
Taylor_2008,Derek Eamus,"Institute for Water and Environmental Resource Management, University of Technology Sydney","collector, contact"
Thomas_2017,Freya Thomas,University of Melbourne,"collector, contact"
Thomas_2017,Peter Vesk,University of Melbourne,lab_leader
Thompson_2001,Ian Thompson,University of Melbourne,"collector, contact"
Thompson_2001,Rachael Gallagher,Macquarie University Sydney,contributor
TMAG_2009,Marco Duretto,National Herbarium of NSW,curator
TMAG_2009,Miguel de Salas,Tasmanian Herbarium,curator
TMAG_2009,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Tng_2013,Yue Phin David Jeremiah-Seok Tng,"Institute of Biology, Federal University of Bahia, R. Bario Jeremoabo, Ondina, 40170-115 Salvador, Bahia, Brazil","collector, contact"
Tng_2013,David Bowman,University of Tasmania,lab_leader
Tng_2013,Gregory Jordan,University of Tasmania,lab_leader
Tng_2013,Rachael Gallagher,Macquarie University Sydney,contributor
Toelken_1996,Hellmut R. Toelken,State Herbarium of South Australia,collector
Toelken_1996,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Tomlinson_2013,Kyle Tomlinson,Xishuangbanna Tropical Botanic Garden,"collector, contact"
Tomlinson_2013,Rachael Gallagher,Macquarie University Sydney,contributor
Tomlinson_2019,Kyle Tomlinson,Xishuangbanna Tropical Botanic Garden,"collector, contact"
Tomlinson_2019,Frank van Langevelde,"Wildlife Ecology & Conservation Group, Wageningen University, The Netherlands",collector
Trudgen_2005,Malcolm Trudgen,Western Australian Herbarium,collector
Trudgen_2005,Barbara Rye,Western Australian Herbarium,collector
Trudgen_2005,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Trudgen_2014,Malcolm Trudgen,Western Australian Herbarium,collector
Trudgen_2014,Barbara Rye,Western Australian Herbarium,collector
Trudgen_2014,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Turner_2010,Ernst-Detlef Schulze,Max-Planck Institute for Biogeochemistry,"contact, collector"
Turner_2010,Neil C. Turner,University of Western Australia,collector
Turner_2010,Willi A. Brand,Max-Planck Institute for Biogeochemistry,collector
Turner_2010,Ian Kealley,unknown,assistant
Turner_2010,Christiane Ludwig,unknown,assistant
Veneklaas_2003,Erik Veneklaas,University of Western Australia,"contact, lab_leader, collector"
Veneklaas_2003,Pieter Poot,University of Western Australia,collector
Venn_2011,Susanna Venn,Deakin University,"collector, contact"
Venn_2011,Catherine Pickering,"School of Environment, Griffith University",collector
Venn_2011,John Morgan,La Trobe University,collector
Venn_2011,Rachael Gallagher,Macquarie University Sydney,contributor
Vesk_2004,Peter Vesk,University of Melbourne,"collector, contact, contributor"
Vesk_2004,Mark Westoby,Macquarie University Sydney,lab_leader
Vesk_2007,Peter Vesk,University of Melbourne,"collector, contact"
Vesk_2019,Peter Vesk,University of Melbourne,"collector, contact, lab_leader"
Vesk_2019,Jian Yen,University of Melbourne,assistant
Vlasveld_2018,Carolyn Vlasveld,"School of Biological Sciences, Monash University","collector, contact"
WAH_1998,Grazyna Paczkowska,Western Australian Herbarium,collector
WAH_1998,Alex Chapman,"Western Australian Herbarium, Gaia Resources, Environmental Technology Consultants",collector
WAH_1998,John Huisman,Western Australian Herbarium,"curator, contact"
WAH_1998,Ben Richardson,Western Australian Herbarium,curator
WAH_1998,Amanda Spooner,Western Australian Herbarium,curator
WAH_1998,Helen Coleman,Western Australian Herbarium,curator
WAH_1998,Rachael Gallagher,Macquarie University Sydney,contributor
WAH_2016,Grazyna Paczkowska,Western Australian Herbarium,collector
WAH_2016,Alex Chapman,Western Australian Herbarium,collector
WAH_2016,John Huisman,Western Australian Herbarium,"curator, contact"
WAH_2016,Rachael Gallagher,Macquarie University Sydney,contributor
Warren_2005,Charles Warren,Sydney University,"lab_leader, contributor, collector, contact"
Warren_2006,Charles Warren,Sydney University,"lab_leader, contributor, collector, contact"
Weerasinghe_2014,Lasantha K. Weerasinghe,"Research School of Biology, Australian National University",collector
Weerasinghe_2014,Owen Atkin,"Research School of Biology, Australian National University",lab_leader
Weerasinghe_2014,Kristine Crous,"Hawkesbury Institute for the Environment, Western Sydney University","collector, contact, contributor"
Wells_2012,Jessie Wells,University of Queensland,"collector, contact"
Wells_2012,Hugh Possingham,University of Queensland,lab_leader
Wells_2012,John Kanowski,Australian Wildlife Conservancy,collector
Westman_1977,W.E Westman,"Department of Botany, University of Queens-land, St Lucia, Australia",collector
Westman_1977,Anna Richards,CSIRO,contributor
Westoby_2003,Ian Wright,Macquarie University Sydney,"collector, contributor"
Westoby_2003,Mark Westoby,Macquarie University Sydney,"lab_leader, contact"
Westoby_2004,Mark Westoby,Macquarie University Sydney,"lab_leader, contact"
Westoby_2004,Ian Wright,Macquarie University Sydney,contributor
Westoby_2004,Erica Williams,Macquarie University Sydney,assistant
Westoby_2014,Sean Gleason,USDA,"collector, contact"
Westoby_2014,Chris Blackman,Western Sydney University,collector
Westoby_2014,Mark Westoby,Macquarie University Sydney,lab_leader
Westoby_2014,Don Butler,Macquarie University Sydney,collector
Westoby_2014,Kasia Zieminska,"Department of Plant Ecology and Evolution, Uppsala University, Uppsala, Sweden",collector
Wheeler_2002,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
White_2020,Matthew White,"Department of Environment, Land, Water and Planning, Victoria","collector, contact"
White_2020,Steven Sinclair,"Department of Environment, Land, Water and Planning, Victoria",collector
White_2020,Doug Frood,Pathways Bushland and Environment Consultancy,collector
Williams_2005,Nick Williams,University of Melbourne,"collector, contact"
Williams_2005,John Morgan,La Trobe University,collector
Williams_2011,Nick Williams,University of Melbourne,"collector, contact"
Williams_2011,Peter Vesk,University of Melbourne,collector
Williams_2011,Amy Hahs,University of Melbourne,collector
Williams_2011,Richard P. Duncan,University of Canberra,collector
Williams_2011,Catherine Tait,University of Adelaide,assistant
Williams_2011,Monique Hallet,University of Adelaide,assistant
Williams_2011,Steven Clemants,Brooklyn Botanic Garden,assistant
Wills_2018,Jarrah Wills,"School of Agriculture and Food Science, University of Queensland","contact, collector"
Wills_2018,Jennifer Firn,Queensland University of Technology,lab_leader
Wills_2018,John Herbohn,"School of Agriculture and Food Science, University of Queensland",lab_leader
Wills_2018,Jing Hu,"School of Agriculture and Food Science, University of Queensland",assistant
Wilson_2008,Peter Wilson,National Herbarium of NSW,"collector, contact"
Wilson_2008,Rachael Gallagher,Macquarie University Sydney,contributor
Wright_2000,Harold Trevor Clifford,University of Queensland,collector
Wright_2000,Mark Westoby,Macquarie University Sydney,lab_leader
Wright_2000,Ian Wright,Macquarie University Sydney,"contributor, contact"
Wright_2001,Ian Wright,Macquarie University Sydney,"collector, contact, contributor"
Wright_2001,Martin Henery,CSIRO,collector
Wright_2001,Mark Westoby,Macquarie University Sydney,lab_leader
Wright_2002,Ian Wright,Macquarie University Sydney,"collector, contact, contributor"
Wright_2002,Tanja Lenz,Macquarie University Sydney,collector
Wright_2002,Amy Zanne,George Washington University,collector
Wright_2002,Mark Westoby,Macquarie University Sydney,lab_leader
Wright_2006,Ian Wright,Macquarie University Sydney,"contact, contributor"
Wright_2006,Daniel Falster,Macquarie University Sydney,collector
Wright_2006,Mark Westoby,Macquarie University Sydney,lab_leader
Wright_2008,Ian Wright,Macquarie University Sydney,"collector, contributor, lab_leader"
Wright_2008,Caroline Lehmann,University of Edinburgh,"collector, contact"
Wright_2008,Anna Richards,CSIRO,collector
Wright_2009,Ian Wright,Macquarie University,"collector, contact, contributor"
Wright_2009,Ule Niinemets,Estonian University of Life Sciences,collector
Wright_2009,Liz Lindsay,Macquarie University,collector
Wright_2009,Mark Westoby,Macquarie University,lab_leader
Wright_2019,Ian Wright,Macquarie University Sydney,"collector, contributor, lab_leader"
Zanne_2007,Amy Zanne,George Washington University,"collector, contact"
Zanne_2007,Mark Westoby,Macquarie University Sydney,lab_leader
Zanne_2007,Ian Wright,Macquarie University Sydney,contributor
Zanne_2009,Amy Zanne,George Washington University,"contributor, contact"
Zieminska_2013,Kasia Zieminska,"Department of Plant Ecology and Evolution, Uppsala University, Uppsala, Sweden","collector, contact"
Zieminska_2013,Ian Wright,Macquarie University Sydney,collector
Zieminska_2013,Mark Westoby,Macquarie University Sydney,lab_leader
Zieminska_2015,Kasia Zieminska,"Department of Plant Ecology and Evolution, Uppsala University, Uppsala, Sweden","collector, contact"
Zieminska_2015,Ian Wright,Macquarie University Sydney,collector
Zieminska_2015,Mark Westoby,Macquarie University Sydney,lab_leader
